WINNER,LOSER,PREDICTED,ACTUAL,DIFFERENCE,ACCURATE PREDICTION?
Tulane,Houston,45.221333333333334,7,38.221333333333334,True
Boise State,Air Force,-7.914666666666654,11,-18.914666666666655,False
Southern California,Utah,-20.62666666666667,7,-27.62666666666667,False
Alabama,Southern Mississippi,56.638666666666666,42,14.638666666666666,True
Alabama-Birmingham,South Alabama,23.201333333333334,32,-8.798666666666666,True
Appalachian State,North Carolina,21.608000000000008,3,18.608000000000008,True
Arkansas State,Southern Illinois,0,13,-13.0,True
Army,Morgan State,0,31,-31.0,True
Auburn,Texas A&M,-8.378666666666675,8,-16.378666666666675,False
Baylor,Rice,95.86933333333333,8,87.86933333333333,True
Boston College,Rutgers,9.221333333333341,14,-4.778666666666659,True
Buffalo,Temple,-45.211999999999996,16,-61.211999999999996,False
California,Mississippi,1.1973333333333347,8,-6.802666666666665,True
Clemson,Charlotte,29.10133333333334,42,-12.89866666666666,True
Coastal Carolina,Massachusetts,68.03333333333333,34,34.03333333333333,True
Colorado,Arizona State,-17.908000000000005,3,-20.908000000000005,False
East Carolina,William & Mary,0,12,-12.0,True
Eastern Michigan,Central Connecticut State,0,5,-5.0,True
Florida,Tennessee,16.148000000000003,31,-14.851999999999997,True
Florida Atlantic,Wagner,0,35,-35.0,True
Florida State,Louisville,-30.304,11,-41.304,False
Fresno State,Sacramento State,0,14,-14.0,True
Georgia,Notre Dame,22.970666666666677,6,16.970666666666677,True
Hawaii,Central Arkansas,0,19,-19.0,True
Indiana,Connecticut,18.856000000000005,35,-16.143999999999995,True
Iowa State,Louisiana-Monroe,5.872000000000002,52,-46.128,True
Kent State,Bowling Green State,-19.70933333333333,42,-61.70933333333333,False
Liberty,Hampton,0,35,-35.0,True
Louisiana,Ohio,43.21333333333334,20,23.21333333333334,True
Louisiana State,Vanderbilt,86.95599999999999,28,58.95599999999999,True
Louisiana Tech,Florida International,20.102666666666668,12,8.102666666666668,True
Miami (FL),Central Michigan,44.462666666666664,5,39.462666666666664,True
Michigan State,Northwestern,29.07866666666667,21,8.07866666666667,True
Mississippi State,Kentucky,5.6666666666666705,15,-9.333333333333329,True
Missouri,South Carolina,31.529333333333348,20,11.529333333333348,True
Nebraska,Illinois,-4.607999999999999,4,-8.607999999999999,False
Nevada,Texas-El Paso,-4.153333333333329,16,-20.15333333333333,False
New Mexico,New Mexico State,28.09333333333333,3,25.09333333333333,True
North Carolina State,Ball State,32.51333333333334,11,21.513333333333343,True
North Texas,Texas-San Antonio,16.553333333333338,42,-25.446666666666662,True
Ohio State,Miami (OH),74.68533333333333,71,3.6853333333333325,True
Oregon,Stanford,53.95333333333333,15,38.95333333333333,True
Pittsburgh,Central Florida,-58.53066666666668,1,-59.53066666666668,False
San Jose State,Arkansas,-19.980000000000004,7,-26.980000000000004,False
Southern Methodist,Texas Christian,-15.620000000000006,3,-18.620000000000005,False
Syracuse,Western Michigan,-47.96533333333334,19,-66.96533333333335,False
Texas,Oklahoma State,-9.141333333333328,6,-15.141333333333328,False
Texas State,Georgia State,-16.349333333333334,3,-19.349333333333334,False
Toledo,Colorado State,17.065333333333335,6,11.065333333333335,True
Troy,Akron,53.49333333333333,28,25.493333333333332,True
Tulsa,Wyoming,-10.785333333333334,3,-13.785333333333334,False
UCLA,Washington State,-88.08933333333331,4,-92.08933333333331,False
Utah State,San Diego State,18.958666666666666,6,12.958666666666666,True
Virginia,Old Dominion,44.516,11,33.516,True
Wake Forest,Elon,0,42,-42.0,True
Washington,Brigham Young,37.07466666666666,26,11.074666666666658,True
West Virginia,Kansas,-19.14666666666667,5,-24.14666666666667,False
Wisconsin,Michigan,64.85733333333334,21,43.857333333333344,True
