RANK,TEAM,CONFERENCE,POINTS
1,Ohio State,BIG-TEN,11.956
2,Clemson,ACC,11.5062
3,LSU,SEC,9.3352
4,Alabama,SEC,8.9236
5,Utah,PAC-12,8.5152
6,Oklahoma,BIG-12,8.0902
7,Georgia,SEC,7.9762
8,Wisconsin,BIG-TEN,7.4684
9,UCF,AMERICAN,6.798
10,Oregon,PAC-12,6.7888
11,Appalachian State,SUN-BELT,6.532
12,Florida,SEC,6.525799999999999
13,Louisiana,SUN-BELT,6.4962
14,Baylor,BIG-12,6.454600000000001
15,Notre Dame,INDEPENDENT,6.4104
16,Penn State,BIG-TEN,6.377599999999999
17,Memphis,AMERICAN,6.0616
18,Auburn,SEC,5.6164000000000005
19,Boise State,MWC,5.601
20,Michigan,BIG-TEN,5.4624
21,Minnesota,BIG-TEN,5.4112
22,Navy,AMERICAN,5.3229999999999995
23,Air Force,MWC,5.300399999999999
24,Iowa,BIG-TEN,4.5764000000000005
25,SMU,AMERICAN,4.3666
26,Virginia,ACC,4.3292
27,Indiana,BIG-TEN,4.097799999999999
28,Iowa State,BIG-12,4.0118
29,Florida Atlantic,CUSA,3.9666000000000006
30,Louisiana Tech,CUSA,3.8824000000000005
31,Buffalo,MAC,3.8594
32,Washington,PAC-12,3.7634000000000003
33,UAB,CUSA,3.6790000000000003
34,Kentucky,SEC,3.5182
35,Cincinnati,AMERICAN,3.5106
36,Kansas State,BIG-12,3.4968
37,Oklahoma State,BIG-12,3.4294000000000002
38,Central Michigan,MAC,3.4265999999999996
39,North Carolina,ACC,3.423
40,Texas A&M,SEC,3.365
41,USC,PAC-12,3.3602000000000007
42,San Diego State,MWC,3.27
43,Miami (FL),ACC,3.2610000000000006
44,Virginia Tech,ACC,3.2521999999999998
45,Washington State,PAC-12,3.1370000000000005
46,Wake Forest,ACC,3.1111999999999997
47,Western Michigan,MAC,3.0638000000000005
48,Missouri,SEC,2.9740000000000006
49,Texas,BIG-12,2.9510000000000005
50,Hawaii,MWC,2.942799999999999
51,Western Kentucky,CUSA,2.845
52,Tulane,AMERICAN,2.8254
53,Army,INDEPENDENT,2.7842
54,Temple,AMERICAN,2.7428000000000003
55,Ohio,MAC,2.732000000000001
56,Brigham Young,INDEPENDENT,2.6876
57,Texas Christian,BIG-12,2.5580000000000003
58,Tennessee,SEC,2.407
59,Marshall,CUSA,2.3588
60,Liberty,INDEPENDENT,2.2846
61,Southern Mississippi,CUSA,2.2476000000000003
62,Wyoming,MWC,2.171
63,Pitt,ACC,2.0884000000000005
64,Arizona State,PAC-12,1.9424000000000003
65,Ball State,MAC,1.9009999999999998
66,Michigan State,BIG-TEN,1.8288000000000002
67,Charlotte,CUSA,1.5790000000000004
68,Nebraska,BIG-TEN,1.5345999999999997
69,Louisville,ACC,1.529600000000001
70,Mississippi State,SEC,1.4780000000000002
71,Ole Miss,SEC,1.2638
72,Utah State,MWC,1.2618000000000003
73,Florida State,ACC,1.2312000000000003
74,Boston College,ACC,1.1282
75,Georgia Southern,SUN-BELT,1.1198
76,Coastal Carolina,SUN-BELT,1.1130000000000002
77,Florida International,CUSA,1.1010000000000002
78,Troy,SUN-BELT,1.0576
79,Illinois,BIG-TEN,0.9368000000000004
80,Texas Tech,BIG-12,0.9356
81,Colorado State,MWC,0.8644000000000002
82,Georgia State,SUN-BELT,0.8409999999999999
83,Eastern Michigan,MAC,0.8350000000000002
84,California,PAC-12,0.8283999999999998
85,Oregon State,PAC-12,0.7752000000000001
86,Arkansas State,SUN-BELT,0.718200000000001
87,San Jose State,MWC,0.6250000000000006
88,North Texas,CUSA,0.5300000000000004
89,Fresno State,MWC,0.49799999999999983
90,Tulsa,AMERICAN,0.34299999999999964
91,South Carolina,SEC,0.3009999999999997
92,Syracuse,ACC,0.12300000000000007
93,Miami (OH),MAC,0.07140000000000023
94,Duke,ACC,0.04900000000000042
95,Toledo,MAC,-0.012000000000000191
96,Kent State,MAC,-0.09160000000000015
97,Purdue,BIG-TEN,-0.10940000000000003
98,Northern Illinois,MAC,-0.14179999999999968
99,Middle Tennessee State,CUSA,-0.19359999999999972
100,Louisiana-Monroe,SUN-BELT,-0.2892
101,Houston,AMERICAN,-0.42740000000000006
102,Colorado,PAC-12,-0.4534
103,Nevada,MWC,-0.5564
104,North Carolina State,ACC,-0.5759999999999998
105,East Carolina,AMERICAN,-0.6302000000000003
106,UCLA,PAC-12,-0.6371999999999997
107,Arizona,PAC-12,-0.6633999999999991
108,Stanford,PAC-12,-0.7392000000000001
109,West Virginia,BIG-12,-0.7563999999999997
110,Northwestern,BIG-TEN,-0.8062
111,South Florida,AMERICAN,-1.0363999999999995
112,Nevada-Las Vegas,MWC,-1.165
113,Rice,CUSA,-1.4624
114,Maryland,BIG-TEN,-1.7188
115,UTSA,CUSA,-2.1339999999999995
116,Kansas,BIG-12,-2.1846
117,South Alabama,SUN-BELT,-2.2612
118,Texas State,SUN-BELT,-2.5522000000000005
119,New Mexico,MWC,-2.7586000000000004
120,Old Dominion,CUSA,-2.8000000000000003
121,Vanderbilt,SEC,-2.9713999999999996
122,Arkansas,SEC,-3.0098
123,Georgia Tech,ACC,-3.0282
124,UTEP,CUSA,-3.244999999999999
125,New Mexico State,INDEPENDENT,-3.7622
126,Connecticut,AMERICAN,-4.0998
127,Bowling Green State,MAC,-4.3002
128,Rutgers,BIG-TEN,-4.7166
129,Akron,MAC,-5.667999999999999
130,Massachusetts,INDEPENDENT,-7.431000000000001
