TEAM,CONFERENCE,POINTS
Clemson,ACC,8.3098
Wake Forest,ACC,4.583200000000001
Louisville,ACC,2.7364
North Carolina State,ACC,3.5248
Florida State,ACC,0.15279999999999958
Boston College,ACC,1.9017999999999995
Syracuse,ACC,0.46559999999999996
Duke,ACC,3.409600000000001
Virginia,ACC,3.0754
Pitt,ACC,2.027
North Carolina,ACC,1.9848000000000001
Virginia Tech,ACC,1.313
Miami (FL),ACC,3.84
Georgia Tech,ACC,-2.8697999999999997
Cincinnati,AMERICAN,2.8942
Temple,AMERICAN,4.0022
UCF,AMERICAN,6.625
South Florida,AMERICAN,-0.06499999999999959
East Carolina,AMERICAN,0.1837999999999998
Connecticut,AMERICAN,-4.9786
SMU,AMERICAN,4.8492
Tulane,AMERICAN,5.793800000000001
Navy,AMERICAN,5.209599999999999
Memphis,AMERICAN,4.775799999999999
Houston,AMERICAN,-0.3489999999999999
Tulsa,AMERICAN,-1.0378000000000003
Baylor,BIG-12,6.192
Oklahoma,BIG-12,9.124200000000002
Iowa State,BIG-12,5.3458000000000006
Texas,BIG-12,3.1752
Texas Christian,BIG-12,4.757200000000001
Oklahoma State,BIG-12,4.252400000000001
Texas Tech,BIG-12,2.2866
West Virginia,BIG-12,-0.4008
Kansas State,BIG-12,3.4599999999999995
Kansas,BIG-12,-1.1157999999999997
Ohio State,BIG-TEN,11.018
Penn State,BIG-TEN,9.0656
Michigan,BIG-TEN,4.638599999999999
Michigan State,BIG-TEN,2.2167999999999997
Indiana,BIG-TEN,4.8422
Maryland,BIG-TEN,3.505
Rutgers,BIG-TEN,-4.941
Minnesota,BIG-TEN,4.6254
Wisconsin,BIG-TEN,10.3126
Nebraska,BIG-TEN,1.052
Iowa,BIG-TEN,5.0236
Purdue,BIG-TEN,-0.0337999999999999
Illinois,BIG-TEN,-0.10040000000000009
Northwestern,BIG-TEN,-0.48280000000000006
Florida Atlantic,CUSA,1.3186000000000002
Western Kentucky,CUSA,1.6640000000000001
Marshall,CUSA,1.0717999999999999
Middle Tennessee State,CUSA,-2.4586
Florida International,CUSA,1.9849999999999999
Charlotte,CUSA,-0.7849999999999996
Old Dominion,CUSA,-1.9020000000000001
Louisiana Tech,CUSA,3.3114000000000003
Southern Mississippi,CUSA,1.4366
UAB,CUSA,4.250000000000001
North Texas,CUSA,0.5460000000000004
UTSA,CUSA,-2.6854
UTEP,CUSA,-3.3760000000000003
Rice,CUSA,-3.4274
Liberty,INDEPENDENT,1.3174
New Mexico State,INDEPENDENT,-4.857200000000001
Massachusetts,INDEPENDENT,-6.670999999999999
Notre Dame,INDEPENDENT,6.085600000000001
Army,INDEPENDENT,1.3166
Brigham Young,INDEPENDENT,-0.8483999999999997
Kent State,MAC,-1.3896000000000002
Bowling Green State,MAC,-3.7152000000000003
Miami (OH),MAC,-3.4285999999999994
Ohio,MAC,-0.7989999999999999
Buffalo,MAC,0.36839999999999995
Akron,MAC,-4.641
Ball State,MAC,1.1140000000000003
Central Michigan,MAC,1.1125999999999998
Western Michigan,MAC,2.3488
Toledo,MAC,1.713
Northern Illinois,MAC,-0.7608000000000001
Eastern Michigan,MAC,-1.1360000000000001
Boise State,MWC,5.352
Utah State,MWC,1.93
Air Force,MWC,3.5513999999999997
Wyoming,MWC,1.7905999999999997
Colorado State,MWC,0.33660000000000073
New Mexico,MWC,-2.4497999999999998
San Diego State,MWC,2.787
Hawaii,MWC,2.191
Nevada,MWC,-2.0540000000000003
San Jose State,MWC,0.32460000000000006
Fresno State,MWC,0.5599999999999998
Nevada-Las Vegas,MWC,-1.3769999999999996
Oregon,PAC-12,7.6954
Washington,PAC-12,4.5262
Stanford,PAC-12,-0.01900000000000015
California,PAC-12,1.2346000000000004
Oregon State,PAC-12,0.4231999999999999
Washington State,PAC-12,3.4754
Arizona State,PAC-12,3.2934
Utah,PAC-12,6.7704
Arizona,PAC-12,2.3226
USC,PAC-12,1.7034000000000002
Colorado,PAC-12,-0.04459999999999935
UCLA,PAC-12,-2.0938000000000003
Missouri,SEC,7.1986
Florida,SEC,5.613
Georgia,SEC,7.8102
South Carolina,SEC,2.0780000000000003
Tennessee,SEC,0.36100000000000015
Kentucky,SEC,0.9872000000000002
Vanderbilt,SEC,-3.713799999999999
Alabama,SEC,9.012599999999999
LSU,SEC,9.037600000000001
Auburn,SEC,4.8668
Ole Miss,SEC,1.2364000000000006
Mississippi State,SEC,0.8660000000000002
Texas A&M,SEC,3.3934
Arkansas,SEC,0.9011999999999999
Appalachian State,SUN-BELT,3.8839999999999995
Georgia State,SUN-BELT,0.782
Georgia Southern,SUN-BELT,-2.2939999999999996
Coastal Carolina,SUN-BELT,2.711
Troy,SUN-BELT,1.2600000000000002
Louisiana-Monroe,SUN-BELT,-0.21299999999999944
Louisiana,SUN-BELT,4.868
Arkansas State,SUN-BELT,-1.2628
Texas State,SUN-BELT,-1.9393999999999996
South Alabama,SUN-BELT,-2.5462000000000002
