RANK,TEAM,CONFERENCE,WINS,LOSSES,POINTS
1,Pitt,ACC,4,1,21.52045997269791
2,Georgia,SEC,5,0,20.429560050199544
3,Coastal Carolina,SUN-BELT,5,0,16.34711816560289
4,Michigan,BIG-TEN,5,0,15.410336729324554
5,Iowa State,BIG-12,3,2,15.25474593420562
6,Air Force,MWC,4,1,14.283314553514705
7,North Carolina State,ACC,4,1,13.640361813010182
8,Wake Forest,ACC,5,0,13.37118135306591
9,UTSA,CUSA,5,0,13.137787116503555
10,Liberty,INDEPENDENT,4,1,12.978812566541558
11,SMU,AMERICAN,5,0,12.921028417949762
12,Ohio State,BIG-TEN,4,1,12.717917596724266
13,Oklahoma,BIG-12,5,0,12.384032841986238
14,Cincinnati,AMERICAN,4,0,12.174083872239837
15,Alabama,SEC,5,0,11.923748355702458
16,North Carolina,ACC,3,2,11.677524575507437
17,Iowa,BIG-TEN,5,0,11.186379934596411
18,Nebraska,BIG-TEN,3,3,11.132488712804557
19,Tennessee,SEC,3,2,11.022696698348039
20,Ole Miss,SEC,3,1,10.833262201073962
21,Virginia,ACC,3,2,10.617670024491265
22,Baylor,BIG-12,4,1,10.575428487759615
23,Fresno State,MWC,4,2,10.403215085574791
24,Houston,AMERICAN,4,1,10.400621641636757
25,Auburn,SEC,4,1,9.806359202349467
26,Virginia Tech,ACC,3,1,9.801025859701786
27,Western Michigan,MAC,4,1,9.586029340616122
28,UCF,AMERICAN,2,2,9.503219372838618
29,Florida,SEC,3,2,9.445397621620893
30,Texas,BIG-12,4,1,9.362907726302456
31,San Diego State,MWC,4,0,9.279016606155622
32,Marshall,CUSA,2,3,9.097420285410625
33,Army,INDEPENDENT,4,1,8.931011884540162
34,Duke,ACC,3,2,8.904571125048935
35,Syracuse,ACC,3,2,8.841007472430329
36,Penn State,BIG-TEN,5,0,8.689575486544594
37,Boston College,ACC,4,1,8.671811732515255
38,Appalachian State,SUN-BELT,4,1,8.611344350209105
39,Arizona State,PAC-12,4,1,8.383407734103477
40,Florida Atlantic,CUSA,3,2,8.092890178588213
41,Oregon State,PAC-12,4,1,8.057371381120026
42,Miami (FL),ACC,2,3,7.809802395296052
43,Michigan State,BIG-TEN,5,0,7.603497428185433
44,Oregon,PAC-12,4,1,7.590450121000497
45,Kentucky,SEC,5,0,7.119688641709266
46,South Alabama,SUN-BELT,3,1,7.106765333675705
47,Purdue,BIG-TEN,3,2,7.095680108008809
48,Maryland,BIG-TEN,4,1,6.928481158102671
49,Clemson,ACC,3,2,6.830950003761611
50,Georgia Tech,ACC,2,3,6.727539901814394
51,Utah,PAC-12,2,2,6.436560513637493
52,USC,PAC-12,3,2,6.241829352319884
53,Rutgers,BIG-TEN,3,2,5.776722567601467
54,Arkansas,SEC,4,1,5.609828563506139
55,Boise State,MWC,2,3,5.477823562238863
56,Troy,SUN-BELT,2,3,5.415209097959956
57,Oklahoma State,BIG-12,5,0,5.339993941633652
58,UTEP,CUSA,4,1,5.338113170681193
59,Texas Tech,BIG-12,4,1,5.207474710149499
60,BYU,INDEPENDENT,5,0,5.082588870439751
61,Wyoming,MWC,4,0,5.023799446507643
62,Toledo,MAC,3,2,4.984932406869456
63,Mississippi State,SEC,3,2,4.884116130229351
64,Kansas State,BIG-12,3,2,4.882991917773421
65,Texas Christian,BIG-12,2,2,4.827667710295588
66,Western Kentucky,CUSA,1,3,4.723598296295214
67,Notre Dame,INDEPENDENT,4,1,4.591365446547432
68,Nevada,MWC,3,1,4.575424542370795
69,Louisville,ACC,3,2,4.538630186550564
70,Minnesota,BIG-TEN,3,2,4.224703560734053
71,Washington,PAC-12,2,3,4.179177786247789
72,West Virginia,BIG-12,2,3,4.159733513608097
73,UCLA,PAC-12,3,2,4.077189779845209
74,Wisconsin,BIG-TEN,1,3,3.578618723702248
75,Memphis,AMERICAN,3,2,3.2324802280580123
76,Central Michigan,MAC,2,3,2.886935628691856
77,Temple,AMERICAN,3,2,2.28824333932943
78,Old Dominion,CUSA,1,4,2.2776189450922426
79,Charlotte,CUSA,3,2,2.151676560634321
80,North Texas,CUSA,1,3,1.3193368710504074
81,Hawaii,MWC,3,3,1.3071248951086019
82,LSU,SEC,3,2,1.2683501771604602
83,East Carolina,AMERICAN,3,2,1.02035595933569
84,Texas A&M,SEC,3,2,0.9031862036322351
85,Colorado State,MWC,1,3,0.7823941054348373
86,Buffalo,MAC,2,3,0.7379479381274949
87,Eastern Michigan,MAC,3,2,0.6717680485421704
88,Kent State,MAC,2,3,0.6651502162577716
89,South Carolina,SEC,3,2,0.6389191361201063
90,Utah State,MWC,3,2,0.5347733089363225
91,California,PAC-12,1,4,0.32561253082570185
92,Louisiana,SUN-BELT,4,1,0.21842197027049143
93,UAB,CUSA,3,2,0.13804067448482926
94,Tulsa,AMERICAN,1,4,0.08416816634602298
95,Illinois,BIG-TEN,2,4,0.031889913013746246
96,Washington State,PAC-12,2,3,-0.26846428660110694
97,Indiana,BIG-TEN,2,3,-0.4684651586528106
98,Louisiana Tech,CUSA,2,3,-0.48924753718021585
99,Stanford,PAC-12,3,2,-0.6864881522633617
100,Middle Tennessee State,CUSA,2,3,-1.6812462658361707
101,Miami (OH),MAC,2,3,-1.8043725005546813
102,Navy,AMERICAN,1,3,-2.0731040043435365
103,Florida State,ACC,1,4,-2.2094868160947527
104,Northwestern,BIG-TEN,2,3,-2.334639464518233
105,San Jose State,MWC,3,2,-2.600706309687538
106,Missouri,SEC,2,3,-2.8618692752191457
107,Northern Illinois,MAC,3,2,-3.459691259092842
108,Arizona,PAC-12,0,4,-3.465332342127458
109,New Mexico,MWC,2,3,-3.9993417099657247
110,Tulane,AMERICAN,1,4,-4.188435116654397
111,Rice,CUSA,2,3,-4.47975207659453
112,Southern Mississippi,CUSA,1,4,-4.503990907320499
113,Florida International,CUSA,1,4,-4.79711342442909
114,Bowling Green State,MAC,2,3,-4.8562389210217205
115,New Mexico State,INDEPENDENT,1,5,-5.135693502757929
116,Ohio,MAC,1,4,-6.210517751780525
