WINNER,LOSER,DIFFERENCE
Western Michigan,Ball State,9.538666666666671
Toledo,Kent State,17.497333333333334
Ohio,Miami (OH),17.930666666666664
Louisiana,Coastal Carolina,18.493333333333336
Temple,South Florida,2.845333333333334
Central Florida,Tulsa,50.11333333333334
Washington,Oregon State,11.705333333333328
Air Force,New Mexico,42.665333333333336
Alabama-Birmingham,Southern Mississippi,11.609333333333334
Appalachian State,South Carolina,21.292
Baylor,Texas Christian,15.206666666666665
Charlotte,Texas-El Paso,22.25333333333333
Clemson,North Carolina State,56.831999999999994
Cincinnati,Connecticut,46.21733333333333
Southern Methodist,East Carolina,38.43466666666667
Florida Atlantic,Florida International,8.39066666666667
Boston College,Florida State,12.058666666666673
Troy,Georgia Southern,10.026666666666664
Georgia State,Louisiana-Monroe,19.213333333333335
Virginia,Georgia Tech,39.86
Michigan State,Illinois,2.8866666666666716
Wisconsin,Iowa,16.828000000000003
Oklahoma,Iowa State,27.89599999999999
Kansas State,Texas,5.482666666666664
Liberty,Brigham Young,11.461333333333332
Alabama,Louisiana State,8.373333333333312
Miami (FL),Louisville,15.476
Ohio State,Maryland,74.22133333333333
Army,Massachusetts,53.890666666666675
Georgia,Missouri,19.138666666666673
San Diego State,Nevada,36.23466666666667
Mississippi,New Mexico State,41.02666666666667
Louisiana Tech,North Texas,19.249333333333333
Notre Dame,Duke,14.369333333333323
Penn State,Minnesota,8.108000000000004
Purdue,Northwestern,16.933333333333337
Hawaii,San Jose State,12.311999999999998
Texas State,South Alabama,7.2440000000000015
Arizona State,Southern California,4.1960000000000015
Stanford,Colorado,3.494666666666669
Kentucky,Tennessee,2.05466666666667
Texas Tech,West Virginia,16.844
Texas-San Antonio,Old Dominion,0.1066666666666638
Fresno State,Utah State,4.822666666666661
Florida,Vanderbilt,54.61733333333333
Wake Forest,Virginia Tech,23.374666666666666
Washington State,California,21.964000000000002
Western Kentucky,Arkansas,22.958666666666673
Boise State,Wyoming,16.006666666666668
